2025-04-06 19:36:52,235 - WARNING - No singles matches found for tournament M25 Luque
2025-04-06 19:36:52,236 - WARNING - API response might not contain match data for this tournament yet
2025-04-06 19:51:04,446 - WARNING - Failed to fetch statistics for match 2138600157, but will continue processing
2025-04-06 19:53:42,633 - WARNING - Failed to fetch statistics for match 1351006315, but will continue processing
2025-04-06 19:53:44,981 - WARNING - Failed to fetch statistics for match 1351006316, but will continue processing
2025-04-06 19:53:47,234 - WARNING - Failed to fetch statistics for match 1351006317, but will continue processing
2025-04-06 19:53:49,512 - WARNING - Failed to fetch statistics for match 1351006318, but will continue processing
2025-04-06 19:53:51,780 - WARNING - Failed to fetch statistics for match 1351006319, but will continue processing
2025-04-06 19:53:53,971 - WARNING - Failed to fetch statistics for match 1351006320, but will continue processing
2025-04-06 19:53:56,250 - WARNING - Failed to fetch statistics for match 1351006321, but will continue processing
2025-04-06 19:53:58,450 - WARNING - Failed to fetch statistics for match 1351006322, but will continue processing
2025-04-06 19:54:00,858 - WARNING - Failed to fetch statistics for match 1351006323, but will continue processing
2025-04-06 19:54:03,015 - WARNING - Failed to fetch statistics for match 1351006324, but will continue processing
2025-04-06 19:54:05,354 - WARNING - Failed to fetch statistics for match 1351006325, but will continue processing
2025-04-06 19:54:08,949 - WARNING - Failed to fetch statistics for match 1351006326, but will continue processing
2025-04-06 19:54:11,288 - WARNING - Failed to fetch statistics for match 1351006327, but will continue processing
2025-04-06 19:54:13,452 - WARNING - Failed to fetch statistics for match 1351006328, but will continue processing
2025-04-06 19:54:16,751 - WARNING - Failed to fetch statistics for match 1352294595, but will continue processing
2025-04-06 19:54:18,966 - WARNING - Failed to fetch statistics for match 1352294607, but will continue processing
2025-04-06 19:55:51,480 - WARNING - Failed to fetch statistics for match 1344564489, but will continue processing
2025-04-06 19:55:53,739 - WARNING - Failed to fetch statistics for match 1344564493, but will continue processing
2025-04-06 19:55:55,863 - WARNING - Failed to fetch statistics for match 1349718078, but will continue processing
2025-04-06 19:55:59,352 - WARNING - Failed to fetch statistics for match 1349718082, but will continue processing
2025-04-06 19:56:01,568 - WARNING - Failed to fetch statistics for match 1349718083, but will continue processing
2025-04-06 19:56:05,259 - WARNING - Failed to fetch statistics for match 1349718084, but will continue processing
2025-04-06 19:56:07,504 - WARNING - Failed to fetch statistics for match 1349718086, but will continue processing
2025-04-06 19:56:10,823 - WARNING - Failed to fetch statistics for match 1349718087, but will continue processing
